api,variant,k,calls,ns_per_call,e2e_ns,hf_ns,used,t_api_ns,cost_proposed,cost_current,size_bytes,env_ns_min,env_ns_median,exec_ns_min,exec_ns_median,open_exec_ns_mean,exec_count,notes
hook_hash,"hook_no=-1",4,1200,74.2658,294.019900,254.801,HF,254.801,67,340,0,953083,985270,460583,493063,513496,1,"HF (E2E noisy)"
otxn_id,"flags=0",4,1200,72.7033,270.062493,253.239,HF,253.239,67,450,0,931417,1.00183e+06,453167,482292,505842,1,"HF (E2E noisy)"
otxn_id,"flags=1",4,1200,71.42,306.288419,251.956,HF,251.956,66,450,0,971417,1.04592e+06,481667,493916,486054,1,"HF (E2E noisy)"
float_multiply,"K=4",4,1200,122.778,320.294005,303.313,HF,303.313,80,240,0,997250,1.03819e+06,506667,542229,542446,1,"HF (E2E noisy)"
float_mulratio,"K=4",4,1200,105.076,371.719869,285.611,HF,285.611,75,390,0,1.04738e+06,1.13427e+06,526792,544583,554325,1,"HF (E2E noisy); E2E/HF ratio 1.301488"
float_negate,"K=4",4,1200,66.2017,292.633851,246.737,HF,246.737,65,160,0,945667,1.00073e+06,452875,475896,451463,1,"HF (E2E noisy)"
float_compare,"COMPARE_EQUAL",4,1200,88.295,297.222678,268.831,HF,268.831,71,140,0,969250,1.01583e+06,479167,512834,523412,1,"HF (E2E noisy)"
float_compare,"COMPARE_LESS|COMPARE_EQUAL",4,1200,92.28,316.395826,272.816,HF,272.816,72,140,0,982291,1.0244e+06,494042,515396,514200,1,"HF (E2E noisy)"
float_sum,"K=4",4,1200,103.998,339.120857,284.534,E2E,339.121,89,350,0,1.00079e+06,1.03412e+06,499458,522646,538583,1,""
float_invert,"K=4",4,1200,66.8758,278.010703,247.411,HF,247.411,65,230,0,930041,966208,436541,473896,490692,1,"HF (E2E noisy)"
float_divide,"K=4",4,1200,109.453,326.042153,289.988,HF,289.988,76,280,0,988625,1.05431e+06,498209,528938,549475,1,"HF (E2E noisy)"
float_mantissa,"K=4",4,1200,67.355,329.284777,247.891,E2E,329.285,87,170,0,999542,1.03396e+06,467250,496646,481679,1,"E2E/HF ratio 1.328347"
float_sign,"K=4",4,1200,69.9242,296.336629,250.46,HF,250.46,66,80,0,949334,1.00346e+06,469125,479958,466800,1,"HF (E2E noisy)"
float_int,"K=4",4,1200,69.445,297.106937,249.981,HF,249.981,66,100,0,962125,1.03402e+06,462875,502104,488179,1,"HF (E2E noisy)"
float_log,"K=4",4,1200,77.3842,268.905147,257.92,HF,257.92,68,100,0,906916,974000,438708,471187,481621,1,"HF (E2E noisy)"
float_root,"K=4",4,1200,109.891,356.250487,290.426,E2E,356.25,94,190,0,1.07617e+06,1.11392e+06,529875,547479,561216,1,""
float_set,"K=4",4,1200,102.853,357.717153,283.388,HF,283.388,75,110,0,1.02871e+06,1.08948e+06,512834,524854,546812,1,"HF (E2E noisy)"
float_sto,"XRP",4,1200,92.695,311.954931,273.231,HF,273.231,72,230,0,1.01012e+06,1.07929e+06,521042,551980,560704,1,"HF (E2E noisy)"
float_sto,"IOU",4,1200,102.834,337.147523,283.37,E2E,337.148,89,230,0,1.03533e+06,1.06227e+06,533667,564625,569550,1,""
float_sto,"short",4,1200,91.3192,310.720672,271.855,HF,271.855,72,230,0,1.00012e+06,1.04198e+06,528666,559229,551921,1,"HF (E2E noisy)"
float_sto_set,"K=4",4,1200,85.6317,340.741227,266.167,E2E,340.741,90,140,0,1.00758e+06,1.02085e+06,483333,510126,513008,1,""
trace,"32B",4,1200,425.06,711.109653,605.596,HF,605.596,160,100,0,1.45625e+06,1.53646e+06,917042,967354,925133,1,"HF (E2E noisy); default journal level: early-returns on !j.trace() (design review B)"
trace,"1KiB hex",4,1200,710.14,1019.403172,890.676,E2E,1019.4,270,100,0,1.86838e+06,1.91881e+06,1.2725e+06,1.36194e+06,1.38902e+06,1,""
trace_num,"K=4",4,1200,406.917,706.375911,587.452,E2E,706.376,190,100,0,1.44567e+06,1.49575e+06,916708,960979,984000,1,""
trace_float,"K=4",4,1200,526.327,770.215271,706.862,E2E,770.215,210,100,0,1.51808e+06,1.58296e+06,1.025e+06,1.0781e+06,1.05513e+06,1,""
otxn_param,"32B",4,1201,186.376,444.982832,366.912,HF,366.912,97,830,0,1.14371e+06,1.1931e+06,596959,655375,638733,1,"HF (E2E noisy)"
